country,policy_description,Summary
United Arab Emirates,"The National Hydrogen Strategy 2050 aims to support low-carbon local industries, contribute to achieving climate neutrality and enhance the UAEs position as one of the largest producers of hydrogen by 2031. The strategy focuses on 10 enablers and outlines the key steps that the UAE will take to accelerate the growth of the hydrogen economy and reduce emissions in highly emission-intensive sectors.","The National Hydrogen Strategy 2050 is designed to promote low-carbon local industries, achieve climate neutrality, and position the UAE as a leading hydrogen producer by 2031. It emphasizes 10 key enablers and outlines specific actions to accelerate the hydrogen economy and lower emissions in high-emission sectors."
Kazakhstan,"The code regulates activities which may have an impact on the environment. It includes regulations related to GHG emissions among others. For emissions, it establishes a mandate for the country's biggest polluters to adopt best available technologies.","The policy establishes regulations aimed at activities that could affect the environment, specifically addressing greenhouse gas (GHG) emissions. It requires the largest polluters in the country to implement the best available technologies to minimize their environmental impact."
France," Reduce energy intensity by 2% annually between 2005 and 2015, and by 2.5% between 2005 and 2030
 Decrease GHG emissions by 3% per year and total emissions by 75% by 2050
 Increase the share of renewable electricity in national energy production to 10% of French energy demand by 2010","The policy aims to achieve the following objectives: 

1. Reduce energy intensity by 2% annually from 2005 to 2015, and by 2.5% annually from 2005 to 2030.
2. Decrease greenhouse gas (GHG) emissions by 3% per year, with a target of reducing total emissions by 75% by 2050.
3. Increase the share of renewable electricity to 10% of France's energy production by 201"
Saudi Arabia,"Saudi Arabia aims to increase the share of natural gas and renewable energy to approximately 50% [of electricity] by 2030 ""while reducing the use of liquid fuel""","Saudi Arabia plans to boost the contribution of natural gas and renewable energy to about 50% of its electricity generation by 2030, while simultaneously decreasing the reliance on liquid fuels."
United States of America,Focused on better lighting solutions.,"The policy aims to improve lighting solutions, emphasizing the development and implementation of more effective and efficient lighting technologies."
Finland,Investment proposal for areas with coal-fired power plants in exchange for the phase-out,"The policy proposal involves investing in regions that host coal-fired power plants, with the condition that these plants will be phased out. The aim is to support the transition away from coal by providing financial resources and development opportunities to affected communities, promoting cleaner energy alternatives and economic diversification."
Argentina,"Resolution 1-E/2017 establishes a discount of up to 20% on electricity prices for energy-intensive industries. Provision 3/2018 (2018, as part of Joint Resolution 1-E/2017)
Companies that want to benefit from reduced electicity price have to implement the ISO norm 50001 on energy management systems (i.e. develop a plan of action for energy management, establish targets for energy performance, and define indicators to monitor progress)","Resolution 1-E/2017 provides a discount of up to 20% on electricity prices for energy-intensive industries. To qualify for this reduced rate, companies must implement the ISO standard 50001 for energy management systems, which involves creating an energy management plan, setting performance targets, and establishing indicators to track progress."
Sweden,Ban on the sale of fossil fuel cars,"The policy involves a prohibition on the sale of fossil fuel-powered vehicles. This ban aims to promote the transition to cleaner, more sustainable transportation options, such as electric or hybrid vehicles, in an effort to reduce greenhouse gas emissions and combat climate change. The implementation timeline and specific regulations may vary by region."
Germany,"Starting on March 1 2016, Germany implemented a  30 million programme to support investments into battery storage of electricity generated from PV residential installations. The scheme offered: 1) soft loans (up to  2,000/kW for solar PV system) and 2) capital grant covering up to 25% of eligible solar PV panels. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Starting March 1, 2016, Germany launched a €30 million program to promote investments in battery storage for electricity from residential solar PV installations. The program provided soft loans of up to €2,000 per kW for solar PV systems and capital grants covering up to 25% of eligible solar PV panels."
Mali,"Mali is expected to remain a net carbon sink up to 2030, but the country's Updated NDC nonetheless included a commitment to achieve a reduction of carbon emissions from four major sectors of its economy (25% from agriculture, 31% from energy and 39% from land use changes and forestry and 31% from waste) below Business as Usual scenario levels by 2030. This totals a 40% reduction against BAU by 2030.","Mali aims to maintain its status as a net carbon sink until 2030 while committing to significant carbon emission reductions across four key sectors: 25% from agriculture, 31% from energy, 39% from land use and forestry, and 31% from waste. Overall, this translates to a total target of a 40% reduction in emissions compared to Business as Usual (BAU) levels by 2030."
Indonesia,"Number 6/2013: ""The moratorium is applicable on primary forests and peatlands, except for those permits already been agreed to in principle by the Minister of Forestry; development in key areas, such as geothermal energy, oil and gas, power plants, rice fields and sugarcane fields; the extensions of permits for forest usage and/or the usage of forest areas for which permits already exist; and ecosystem restoration.""","Policy Number 6/2013 establishes a moratorium on the exploitation of primary forests and peatlands, with certain exceptions. These exceptions include permits that have been preliminarily approved by the Minister of Forestry, developments in specific sectors like geothermal energy, oil and gas, power plants, rice, and sugarcane fields, as well as the renewal of existing forest usage permits and activities related to ecosystem restoration."
United Arab Emirates,"The Strategy provides national and emirate-level development plans with a unified umbrella for leading the path to transform the national economy to a greener economy. (source: UN environment)
The Ministry of Environment and Water developed a national plan for implementing the strategy - launched in 2012 - which has been approved by the Cabinet in January 2015.","The Strategy aims to create unified national and emirate-level development plans to transition the economy towards a greener model. Developed by the Ministry of Environment and Water, the national plan for implementing this strategy was launched in 2012 and received Cabinet approval in January 2015."
Montenegro,"Montenegro adopts the EU Energy Service Directive target to achieve energy savings tof 9% of the average final inland energy consumption (FEC) of the period 2002-2006, for the ninth year of application of the Directive","Montenegro has committed to the EU Energy Service Directive, aiming for a 9% reduction in average final inland energy consumption (FEC) based on data from 2002-2006, as part of the Directive's ninth year of implementation."
United Arab Emirates,"Vision 2021 is a long-term plan for the development of the country. According to the CAT, it includes a target to divert 75% of it waste from landfills by 2021, and to develop Waste-to-energy projects.",Vision 2021 is a long-term development plan aimed at advancing the country. It sets a goal to divert 75% of waste from landfills by 2021 and to implement Waste-to-Energy projects.
Brazil,"-aim to reduce electricity consumption 10% by 2030
-aim to reduce non-technical losses in electricity distribution at a rate of 1000 GWh per year for the next ten years","The policy aims to achieve a 10% reduction in electricity consumption by 2030 and to decrease non-technical losses in electricity distribution by 1,000 GWh annually over the next ten years."
Morocco,"This policy sets out a target of afforestation and regeneration of approximately 50,000 hectares of forest per year.","The policy aims to achieve the afforestation and regeneration of about 50,000 hectares of forest annually."
United States of America,"EO 13834 affirms legislative targets related to energy and environmental performance of executive departments and agencies, including that the head of each agency shall meet, in a cost-effective manner, goals including: (a) Achieve and maintain annual reductions in building energy use and implement energy efficiency measures that reduce costs; (b) Utilize performance contracting to achieve energy, water, building modernization, and infrastructure goals. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","EO 13834 establishes legislative targets for energy and environmental performance within executive departments and agencies. It mandates agency heads to cost-effectively achieve specific goals, such as: (a) consistently reducing building energy use and implementing energy efficiency measures to lower costs; and (b) using performance contracting to meet energy, water, building modernization, and infrastructure objectives."
China,"Launched in 2020 (only energy sector, industrial and aviation sectors added in later phases), announced in 2017.
The objective of the ETS is to contribute to the effective control and gradual reduction ofcarbon emissions in China and the achievement of green and low carbon development.The ETS is expected to regulate ~1,700 companies from the power sector (includingcombined heat and power, as well as captive power plants of other sectors), which emitmore than 26,000 tonnes GHG or consume more than 10,000 tce per year. The Chinesesystem would cover more than three billion tonnes of CO2e in its initial phase, accounting for about 30% of national emissions.","The Emissions Trading System (ETS) in China was officially launched in 2020, following its announcement in 2017, with the initial focus on the energy sector, later expanding to include industrial and aviation sectors. Its primary goal is to effectively control and gradually reduce carbon emissions, supporting the country's transition to green and low carbon development. The ETS aims to regulate approximately 1,700 companies in the power sector that emit over 26,000 tonnes of greenhouse gases or consume more than 10"
Norway,Fiscal compensation for the scrapping of fossil vans when converting to a zero-emission van.,The policy provides financial incentives for individuals or businesses to scrap their fossil fuel-powered vans in exchange for purchasing zero-emission vans. This fiscal compensation aims to encourage the transition to cleaner transportation options and reduce environmental impact.
Japan,Tax cuts are offered to companies based on investments that benefit the environment.,The policy provides tax reductions to companies that make environmentally beneficial investments.
