country,policy_description
Norway,Fiscal compensation for the scrapping of fossil vans when converting to a zero-emission van.
United Kingdom,"The Northern Powerhouse Investment Fund (NPIF) will invest a further £390 million by 2020-21 to support ultra-low emission vehicles (ULEVs), renewable fuels, and connected and autonomous vehicles (CAVs). This includes £80 million for ULEV charging infrastructure, £150 million in support for low emission buses and taxis, £20 million for the development of alternative aviation and heavy goods vehicle fuels, and £100 million for new UK CAV testing infrastructure. In addition to the tax incentives for ULEVs in company tax and salary schemes set out in the tax chapter, from today to the end of March 2019 the government will also offer 100% first-year allowances to companies investing in charge-points for electric vehicles. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The Norwegian Government Environmental Fund is a loan scheme administered by the Norwegian Industrial and Regional Development Fund. The scheme was established to provide funding for projects that help to reduce emissions of greenhouse gases and other environmentally harmful gases, and provide funding for energy efficiency investments. ""Oko-bygg"" is a development programme that was started in 1998. It provides information, advice and grants to promote the use of eco-efficient technology, including more efficient and flexible energy use in the construction industry. The programme will end in 2002. The Norwegian State Housing Bank offers various loan and grant schemes for residential energy efficiency measures. From 2002 the housing bank also offers NKr 140 000 in extra loans and NKr 10 000 in grants to homebuilders who invest in water heating systems based on bioenergy, solar or that use heat pumps. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The Home Energy Scotland Advice Network consists of of local advice centres covering all of Scotland. Expert advisors offer free advice on energy saving, keeping warm at home, renewable energy, greener travel, cutting water waste and more. Funded by the Scottish Government and managed by the Energy Saving Trust, its mission is to help people in Scotland create warmer homes, reduce their bills and help tackle climate change. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,Legislative
United Kingdom,"The United Kingdom's LTS refers to its 2050 net zero target enshrined in law since 2019. The strategy is structured around 4 key principles:
1. To work with the grain of consumer choice: no one will be required to rip out their existing boiler or scrap their current car
2. To ensure the biggest polluters pay the most for the transition through fair carbon pricing
3. To ensure that the most vulnerable are protected through Government supportin the form of energy bill discounts, energy efficiency upgrades, and more
4. To work with businesses to continue delivering deep cost reductions in low carbon tech through support for the latest state of the art kit to bring down costs for consumers and deliver benefits for businesses."
United Kingdom,"The Ministry for Housing, Communities and Local Government (DCLG) is responsible for making sure buildings in the UK meet the standards required by the EU Energy Performance of Buildings Directive. The Directive requires that all properties (homes, commercial and public buildings) must have an Energy Performance Certificate (EPC) when sold, built or rented; larger public buildings over 500m must display a Display Energy Certificate (DEC); all air-conditioning systems over 12 kW must be regularly inspected by an Energy Assessor. EPCs are produced by accredited energy assessors using standard methods and assumptions about energy usage. This means that the energy efficiency of one building can easily be compared with another building of the same type. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The 2023 Green Finance Strategy reinforces the UK government's stance on green finance and investment. It delineates five key objectives, including mobilizing financial support for climate-oriented projects, encouraging private investment in the green economy, and aligning global financial flows with climate and nature objectives."
Norway,"Investment aid to implement energy efficiency measures in existing commercial and public buildings, including building cooperations. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"This strategy is a follow-up to the UK's Hydrogen Strategy, and it increases the 2030 capacity target from 5GW to 10GW."
